12
1,1,1,1,1,1,1,1,1,1,1,1
1,t,1,1,1,1,1,1,1,1,t,1
1,1,2,2,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,4,1,1,1,1
1,1,1,1,3,1,1,1,1,1,1,1
1,6,1,3,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,5,1,1,1,1,1,4,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0
0,8,.,.,.,.,.,.,.,7,.,0
0,.,.,.,.,.,.,.,.,.,.,0
0,.,.,.,.,.,0,0,.,.,.,0
0,.,.,7,.,.,0,0,.,.,.,0
0,8,7,.,.,.,.,.,.,.,.,0
0,7,.,.,.,.,.,.,.,.,2,0
0,.,.,.,.,.,.,7,.,.,.,0
0,.,.,.,.,0,.,.,.,.,.,0
0,.,.,.,.,0,.,2,.,.,.,0
0,.,.,.,.,0,.,.,.,.,.,0
0,0,0,0,0,0,0,0,0,0,0,0
